Network,SchoolID,EducationalUnit,EduUnit,Total,White_No,White_Pct,AfricanAmerican_No,AfricanAmerican_Pct,PacificIslanderRetired_No,PacificIslanderRetired_Pct,NativeAmerican_No,NativeAmerican_Pct,Hispanic_No,Hispanic_Pct,MulitRacial_No,MulitRacial_Pct,Asian_No,Asian_Pct,Hawaiian_No,Hawaiian_Pct,NotAvailable_No,NotAvailable_Pct
Charter,400093,Chicago Talent Dev HS,CHICAGO TALENT DEV HS,183,0,0,176,96.2,0,0,0,0,5,2.7,2,1.1,0,0,0,0,0,0
Charter,400036,Chicago Virtual Chtr,CHICAGO VIRTUAL CHTR,690,118,17.1,373,54.1,2,0.3,2,0.3,109,15.8,31,4.5,51,7.4,1,0.1,3,0.4
OS4,609674,Chicago Voc HS,CHICAGO VOC HS,990,0,0,974,98.4,0,0,0,0,12,1.2,4,0.4,0,0,0,0,0,0
Network 5,609854,Chopin,CHOPIN,594,35,5.9,120,20.2,0,0,4,0.7,416,70,6,1,4,0.7,1,0.2,8,1.3
Network 8,609855,Christopher,CHRISTOPHER,360,23,6.4,92,25.6,0,0,2,0.6,240,66.7,0,0,0,0,0,0,3,0.8
Charter,400159,Christopher Hse Chtr,CHRISTOPHER HSE CHTR,95,1,1.1,5,5.3,0,0,0,0,77,81.1,0,0,1,1.1,0,0,11,11.6
Charter,400023,CICS - Avalon/So Shore,CICS - AVALON/SO SHORE,418,2,0.5,411,98.3,0,0,0,0,2,0.5,0,0,0,0,0,0,3,0.7
Charter,400025,CICS - Bucktown,CICS - BUCKTOWN,674,16,2.4,92,13.6,0,0,4,0.6,552,81.9,6,0.9,1,0.1,1,0.1,2,0.3
Charter,400113,CICS - Chgo Quest North,CICS - CHGO QUEST NORTH,379,21,5.5,238,62.8,0,0,1,0.3,101,26.6,9,2.4,5,1.3,1,0.3,3,0.8
Charter,400032,CICS - Ellison,CICS - ELLISON,481,0,0,468,97.3,0,0,0,0,2,0.4,8,1.7,0,0,0,0,3,0.6
Charter,400108,CICS - Hawkins,CICS - HAWKINS,348,0,0,344,98.9,0,0,0,0,2,0.6,2,0.6,0,0,0,0,0,0
Charter,400027,CICS - Irving Park,CICS - IRVING PARK,534,70,13.1,36,6.7,1,0.2,1,0.2,332,62.2,12,2.2,24,4.5,0,0,58,10.9
Charter,400092,CICS - Lloyd Bond,CICS - LLOYD BOND,348,0,0,341,98,0,0,0,0,5,1.4,0,0,0,0,0,0,2,0.6
Charter,400033,CICS - Longwood,CICS - LONGWOOD,"1,283",1,0.1,"1,250",97.4,0,0,0,0,16,1.2,2,0.2,2,0.2,0,0,12,0.9
Charter,400026,CICS - Loomis,CICS - LOOMIS,578,0,0,555,96,0,0,0,0,5,0.9,2,0.3,0,0,0,0,16,2.8
Charter,400034,CICS - Northtown,CICS - NORTHTOWN,886,174,19.6,53,6,3,0.3,7,0.8,501,56.5,14,1.6,122,13.8,6,0.7,6,0.7
Charter,400030,CICS - W. Belden,CICS - W. BELDEN,500,5,1,38,7.6,0,0,0,0,454,90.8,0,0,0,0,0,0,3,0.6
Charter,400024,CICS- Basil,CICS- BASIL,704,1,0.1,630,89.5,0,0,0,0,67,9.5,1,0.1,2,0.3,0,0,3,0.4
Charter,400028,CICS- Prairie,CICS- PRAIRIE,406,0,0,199,49,0,0,0,0,206,50.7,1,0.2,0,0,0,0,0,0
Charter,400029,CICS- Washington,CICS- WASHINGTON,442,0,0,403,91.2,0,0,1,0.2,6,1.4,0,0,0,0,0,0,32,7.2
Charter,400031,CICS- Wrightwood,CICS- WRIGHTWOOD,731,4,0.5,680,93,0,0,1,0.1,17,2.3,21,2.9,1,0.1,0,0,7,1
Network 10,610347,Claremont,CLAREMONT,477,0,0,449,94.1,0,0,0,0,25,5.2,0,0,0,0,3,0.6,0,0
Network 3,609795,Clark G. R.,CLARK G. R.,279,5,1.8,170,60.9,0,0,3,1.1,93,33.3,4,1.4,2,0.7,2,0.7,0,0
Network 3,610244,Clark Magnet HS,CLARK MAGNET HS,499,0,0,492,98.6,0,0,1,0.2,5,1,1,0.2,0,0,0,0,0,0
Network 13,609856,Clay,CLAY,568,64,11.3,47,8.3,0,0,3,0.5,438,77.1,12,2.1,4,0.7,0,0,0,0
OS4,609759,Clemente HS,CLEMENTE HS,701,19,2.7,161,23,0,0,3,0.4,513,73.2,4,0.6,1,0.1,0,0,0,0
Network 1,609857,Cleveland,CLEVELAND,689,41,6,29,4.2,0,0,9,1.3,558,81,6,0.9,40,5.8,3,0.4,3,0.4
Network 2,609859,Clinton,CLINTON,"1,147",188,16.4,132,11.5,0,0,13,1.1,350,30.5,10,0.9,442,38.5,9,0.8,3,0.3
Network 10,609861,Clissold,CLISSOLD,560,168,30,353,63,0,0,1,0.2,29,5.2,5,0.9,3,0.5,1,0.2,0,0
Network 13,610199,Colemon J.,COLEMON J.,279,0,0,259,92.8,0,0,0,0,20,7.2,0,0,0,0,0,0,0,0
Network 12,609862,Coles,COLES,547,1,0.2,529,96.7,0,0,1,0.2,11,2,5,0.9,0,0,0,0,0,0
AUSL,610499,Collins HS,COLLINS HS,384,0,0,379,98.7,0,0,0,0,3,0.8,1,0.3,1,0.3,0,0,0,0
Network 8,610170,Columbia Explorers,COLUMBIA EXPLORERS,"1,083",10,0.9,6,0.6,0,0,2,0.2,"1,057",97.6,5,0.5,2,0.2,0,0,1,0.1
Network 5,609863,Columbus,COLUMBUS,294,163,55.4,16,5.4,0,0,0,0,107,36.4,8,2.7,0,0,0,0,0,0
Contract,400038,Community Service West HS,COMMUNITY SERVICE WEST HS,156,0,0,153,98.1,0,0,0,0,1,0.6,2,1.3,0,0,0,0,0,0
Network 11,609864,Cook,COOK,437,0,0,424,97,0,0,3,0.7,4,0.9,2,0.5,0,0,0,0,4,0.9
Network 2,609866,Coonley,COONLEY,732,424,57.9,9,1.2,0,0,4,0.5,217,29.6,41,5.6,36,4.9,1,0.1,0,0
Network 7,609867,Cooper,COOPER,635,7,1.1,10,1.6,0,0,4,0.6,611,96.2,1,0.2,2,0.3,0,0,0,0
Network 11,609869,Copernicus,COPERNICUS,444,0,0,442,99.5,0,0,0,0,2,0.5,0,0,0,0,0,0,0,0
Network 7,609870,Corkery,CORKERY,607,7,1.2,108,17.8,0,0,1,0.2,488,80.4,2,0.3,0,0,0,0,1,0.2
Network 13,609761,Corliss HS,CORLISS HS,497,1,0.2,481,96.8,0,0,1,0.2,12,2.4,1,0.2,0,0,1,0.2,0,0
Network 2,610355,Courtenay,COURTENAY,631,70,11.1,255,40.4,0,0,3,0.5,244,38.7,10,1.6,36,5.7,4,0.6,9,1.4
Network 6,610561,Crane Med Prep HS,CRANE MED PREP HS,149,0,0,114,76.5,0,0,0,0,32,21.5,1,0.7,2,1.3,0,0,0,0
Network 6,609702,Crane Tech HS,CRANE TECH HS,162,0,0,154,95.1,0,0,2,1.2,5,3.1,1,0.6,0,0,0,0,0,0
OS4,609873,Crown,CROWN,349,0,0,334,95.7,0,0,0,0,13,3.7,0,0,1,0.3,0,0,1,0.3
Network 11,610003,Cuffe,CUFFE,459,0,0,450,98,0,0,0,0,7,1.5,2,0.4,0,0,0,0,0,0
Network 13,610004,Cullen,CULLEN,261,0,0,254,97.3,0,0,0,0,5,1.9,2,0.8,0,0,0,0,0,0
Network 8,609756,Curie HS,CURIE HS,"2,982",78,2.6,356,11.9,0,0,12,0.4,"2,449",82.1,9,0.3,77,2.6,1,0,0,0
AUSL,609900,Curtis,CURTIS,626,0,0,599,95.7,0,0,0,0,20,3.2,3,0.5,0,0,1,0.2,3,0.5
Network 8,610239,Daley,DALEY,709,1,0.1,81,11.4,0,0,1,0.1,626,88.3,0,0,0,0,0,0,0,0
Network 4,609875,Darwin,DARWIN,593,26,4.4,67,11.3,0,0,0,0,462,77.9,2,0.3,2,0.3,0,0,34,5.7
Network 11,610521,Davis M. Magnet,DAVIS M. MAGNET,336,0,0,329,97.9,0,0,0,0,4,1.2,1,0.3,1,0.3,0,0,1,0.3
Network 8,609876,Davis N.,DAVIS N.,916,14,1.5,11,1.2,0,0,0,0,877,95.7,2,0.2,3,0.3,1,0.1,8,0.9
Network 10,609879,Dawes,DAWES,"1,028",11,1.1,207,20.1,0,0,9,0.9,792,77,4,0.4,3,0.3,2,0.2,0,0
Network 5,610313,De Diego,DE DIEGO,934,16,1.7,212,22.7,0,0,3,0.3,669,71.6,3,0.3,8,0.9,2,0.2,21,2.2
Network 2,609880,Decatur Classical,DECATUR CLASSICAL,286,119,41.6,16,5.6,0,0,1,0.3,40,14,30,10.5,79,27.6,1,0.3,0,0
AUSL,609883,Deneen,DENEEN,619,3,0.5,609,98.4,0,0,1,0.2,3,0.5,3,0.5,0,0,0,0,0,0
Network 3,610367,DePriest,DEPRIEST,723,0,0,700,96.8,0,0,1,0.1,15,2.1,5,0.7,1,0.1,0,0,1,0.1
Network 6,610252,Dett,DETT,470,3,0.6,436,92.8,0,0,0,0,16,3.4,5,1.1,2,0.4,0,0,8,1.7
Network 1,609884,Dever,DEVER,847,402,47.5,15,1.8,0,0,3,0.4,375,44.3,11,1.3,38,4.5,1,0.1,2,0.2
Network 4,610402,DeVry Advantage HS,DEVRY ADVANTAGE HS,192,19,9.9,59,30.7,0,0,0,0,98,51,4,2.1,12,6.3,0,0,0,0
AUSL,609885,Dewey,DEWEY,360,0,0,347,96.4,0,0,0,0,10,2.8,3,0.8,0,0,0,0,0,0
Network 1,609874,Dirksen,DIRKSEN,807,528,65.4,26,3.2,0,0,3,0.4,98,12.1,5,0.6,61,7.6,1,0.1,85,10.5
Network 1,610515,Disney II Magnet,DISNEY II MAGNET,414,185,44.7,34,8.2,1,0.2,4,1,149,36,12,2.9,23,5.6,1,0.2,5,1.2
Network 1,610564,Disney II Magnet HS,DISNEY II MAGNET HS,247,54,21.9,50,20.2,2,0.8,3,1.2,127,51.4,2,0.8,6,2.4,2,0.8,1,0.4
Network 2,610363,Disney Magnet,DISNEY MAGNET,"1,678",382,22.8,639,38.1,0,0,17,1,390,23.2,74,4.4,173,10.3,2,0.1,1,0.1
Network 12,609887,Dixon,DIXON,661,0,0,651,98.5,0,0,0,0,4,0.6,5,0.8,1,0.2,0,0,0,0
AUSL,609888,Dodge,DODGE,248,1,0.4,245,98.8,0,0,0,0,2,0.8,0,0,0,0,0,0,0,0
Network 9,609891,Doolittle,DOOLITTLE,304,0,0,298,98,0,0,0,0,5,1.6,1,0.3,0,0,0,0,0,0
Network 10,609893,Dore,DORE,646,222,34.4,18,2.8,0,0,1,0.2,394,61,4,0.6,6,0.9,1,0.2,0,0
Network 3,610245,Douglass HS,DOUGLASS HS,291,0,0,282,96.9,0,0,0,0,7,2.4,2,0.7,0,0,0,0,0,0
Network 9,609894,Drake,DRAKE,517,2,0.4,496,95.9,0,0,0,0,8,1.5,3,0.6,3,0.6,0,0,5,1
Network 6,609896,Drummond Magnet,DRUMMOND MAGNET,349,136,39,20,5.7,0,0,0,0,144,41.3,30,8.6,19,5.4,0,0,0,0
