SchoolID,SchoolName,FullName,CPSUnit,Network,SchoolID,EducationalUnit,EduUnit,Total,White_No,White_Pct,AfricanAmerican_No,AfricanAmerican_Pct,PacificIslanderRetired_No,PacificIslanderRetired_Pct,NativeAmerican_No,NativeAmerican_Pct,Hispanic_No,Hispanic_Pct,MulitRacial_No,MulitRacial_Pct,Asian_No,Asian_Pct,Hawaiian_No,Hawaiian_Pct,NotAvailable_No,NotAvailable_Pct,lat,lng
610094,Nettelhorst,Louis Nettelhorst Elementary School,5070,Network 4,610094,Nettelhorst,NETTELHORST,797,478,60,79,9.9,0,0,4,0.5,135,16.9,37,4.6,48,6,16,2,0,0,41.9413046,-87.64445529999999
610284,New Field,New Field Elementary School,7060,Network 2,610284,New Field,NEW FIELD,589,48,8.1,126,21.4,0,0,5,0.8,350,59.4,9,1.5,46,7.8,1,0.2,4,0.7,42.0077747,-87.6724574
610193,New Sullivan,William K New Sullivan Elementary School,6100,Network 12,610193,Sullivan,SULLIVAN,502,6,1.2,364,72.5,0,0,0,0,126,25.1,5,1,0,0,1,0.2,0,0,41.7440595,-87.5426627
610095,Newberry,Walter L Newberry Math & Science Academy ES,5080,Network 4,610095,Newberry Magnet,NEWBERRY MAGNET,563,127,22.6,217,38.5,0,0,0,0,165,29.3,22,3.9,29,5.2,1,0.2,2,0.4,41.914189,-87.646788
609793,Nicholson Tech Acad,Nicholson Technology Academy,2200,Network 11,609793,Nicholson,NICHOLSON,570,1,0.2,559,98.1,0,0,1,0.2,5,0.9,1,0.2,1,0.2,2,0.4,0,0,41.7845981,-87.6476722
610096,Nightingale,Florence Nightingale Elementary School,5090,Network 8,610096,Nightingale,NIGHTINGALE,"1,389",11,0.8,6,0.4,0,0,3,0.2,"1,369",98.6,0,0,0,0,0,0,0,0,41.7981868,-87.68941559999999
610097,Nixon,William P Nixon Elementary School,5100,Network 4,610097,Nixon,NIXON,"1,059",11,1,25,2.4,0,0,9,0.8,"1,009",95.3,3,0.3,1,0.1,1,0.1,0,0,41.9193877,-87.73101369999999
400045,Nkrumah Contr,Kwame Nkrumah Academy Elementary School,2055,Charter,400045,Nkrumah Academy,NKRUMAH ACADEMY,217,0,0,214,98.6,0,0,0,0,1,0.5,1,0.5,0,0,0,0,1,0.5,41.6979709,-87.6309575
610098,Nobel,Alfred Nobel Elementary School,5110,Network 5,610098,Nobel,NOBEL,842,3,0.4,118,14,0,0,6,0.7,702,83.4,5,0.6,0,0,0,0,8,1,41.9062339,-87.729492
400157,Noble Street Chtr - Baker College Prep,Noble Street Charter Orange HS,9614,Charter,400157,Noble St Chtr HS - Orange Campus,NOBLE ST CHTR HS - ORANGE CAMPUS,105,1,1,94,89.5,0,0,0,0,10,9.5,0,0,0,0,0,0,0,0,41.734564,-87.557508
400097,Noble Street Chtr - Chgo Bulls,Noble Street Charter - Chicago Bulls College,8078,Charter,400097,Noble St Chtr HS - Chgo Bulls College,NOBLE ST CHTR HS - CHGO BULLS COLLEGE,"1,079",9,0.8,303,28.1,0,0,3,0.3,742,68.8,9,0.8,7,0.6,1,0.1,5,0.5,41.87907000000001,-87.6784704
400052,Noble Street Chtr - Comer,Noble Street Charter - Gary Comer College Prep,1935,Charter,400052,Nobel St Chtr HS - Comer,NOBEL ST CHTR HS - COMER,950,1,0.1,892,93.9,0,0,0,0,43,4.5,13,1.4,0,0,0,0,1,0.1,41.7640694,-87.60243559999999
400053,Noble Street Chtr - Golder,Noble Street Charter - Golder College Prep,1934,Charter,400053,Noble St Chtr HS - Golder,NOBLE ST CHTR HS - GOLDER,635,21,3.3,82,12.9,1,0.2,2,0.3,524,82.5,1,0.2,2,0.3,1,0.2,1,0.2,41.8954949,-87.6644366
400106,Noble Street Chtr - Johnson,Noble Street Charter School Ã¢â¬â Johnson HS,8028,Charter,400106,Noble St Chtr HS - Englewood HS,NOBLE ST CHTR HS - ENGLEWOOD HS,773,1,0.1,738,95.5,0,0,1,0.1,20,2.6,5,0.6,4,0.5,0,0,4,0.5,41.7784576,-87.63548829999999
400098,Noble Street Chtr - Muchin,Noble Street Charter - Muchin College Prep,8079,Charter,400098,Noble St Chtr HS- Muchin,NOBLE ST CHTR HS- MUCHIN,886,24,2.7,253,28.6,4,0.5,5,0.6,514,58,1,0.1,47,5.3,0,0,38,4.3,41.8822865,-87.6274617
400051,Noble Street Chtr - Noble,Noble Street Charter - Noble Street College Prep,1930,Charter,400051,Noble St Chtr Hs -College Prep,NOBLE ST CHTR HS -COLLEGE PREP,602,17,2.8,64,10.6,0,0,5,0.8,510,84.7,1,0.2,5,0.8,0,0,0,0,41.9001416,-87.6628518
400054,Noble Street Chtr - Pritzker,Noble Street Charter - Pritzker College Prep,1931,Charter,400054,Noble St Chtr HS - Prtizker,NOBLE ST CHTR HS - PRTIZKER,858,7,0.8,18,2.1,0,0,4,0.5,824,96,2,0.2,3,0.3,0,0,0,0,41.9149117,-87.7297341
400156,Noble Street Chtr - Pullman College Prep,Noble Street Charter  Crimson HS,9613,Charter,400156,Noble St Chtr HS - Crimson Campus,NOBLE ST CHTR HS - CRIMSON CAMPUS,102,0,0,99,97.1,0,0,0,0,1,1,0,0,0,0,0,0,2,2,41.7065107,-87.6026697
400118,Noble Street Chtr - Purple,Noble Street Charter School - Purple,9035,Charter,400118,Noble St Chtr HS - Homan Square,NOBLE ST CHTR HS - HOMAN SQUARE,431,6,1.4,372,86.3,0,0,0,0,46,10.7,2,0.5,0,0,0,0,5,1.2,41.869208,-87.709929
