Unit,FY00_Name,FY00Total,FY00_WhitePct,Fy00_AfrianAmericanPct,FY00_AsianPct,FY00_HispanicPct
5200,Oriole Park,421,64.4,6.2,4,24.9
7610,Orozco Acad,718,0,0.8,0,99.2
1830,Orr Comm Acad HS,1052,0.1,88.8,0.1,10.9
3630,Ortiz De Dominguez,847,0.1,0.1,0,99.8
5810,Otavio Paz Charter,723,1,49.4,0,49.7
5220,Otis,707,7.1,8.6,0.1,84
5230,O'Toole,830,0,100,0,0
6960,Overton,787,0,100,0,0
5240,Owen Schol Acad,249,29.3,55,0,14.9
3470,Owens Comm Acad,552,0.2,99.8,0,0
6930,Paderewski,412,0,98.1,0,1.9
5260,Palmer,815,45.8,1.6,17.7,34.7
5290,Park Manor,572,0,100,0,0
5270,Parker,1038,0,99.9,0,0.1
5280,Parkman,374,0.3,98.9,0,0.8
5300,Parkside Comm Acad,551,0,100,0,0
1170,Partee APC,203,0,98.5,0,1.5
5310,Pasteur,954,49.3,0.5,0,50.2
5330,Peabody,478,4.6,16.5,0,78.9
5340,Peck,1100,18.9,0.5,0.3,80.2
5360,Peirce,1097,10.6,10.9,10.3,67.5
5370,Penn,692,0.1,94.8,0,5.1
2930,Perez,703,0.3,0.6,0,99.1
5400,Pershing,269,1.1,95.5,1.5,1.9
1960,Perspectives Charter,148,0.7,58.8,0,39.9
5410,Peterson,829,34.3,3.1,38.8,23.6
1510,Phillips HS,728,0,99.9,0,0.1
5210,Piccolo Elem,826,0.4,81.4,0,18.3
7400,Piccolo Middle,341,0.3,77.4,0,22.3
5430,Pickard,674,1.2,2.1,0,96.7
4210,Pilsen Comm Acad,914,0.3,3.5,0.3,95.7
5440,Pirie,533,0,100,0,0
5450,Plamondon,266,0,16.2,0,83.5
5460,Poe,172,4.7,94.2,0,1.2
5480,Pope,302,0,89.4,0,10.6
5490,Portage Park,861,66.4,1.4,3.4,28.7
7010,Powell,680,0.6,99.4,0,0
5500,Prescott,370,6.2,8.9,1.6,83
6810,Price,550,1.3,98.5,0,0.2
6460,Pritzker,710,21,41.1,4.1,33.7
1990,Proctor APC,201,0.5,80.1,0,19.4
1070,Prosser HS,1318,19,36.1,1.1,43.7
5510,Prussing,603,71.8,2.5,6.5,18.9
5520,Pulaski,1129,4.3,3.9,1.4,90.3
5530,Pullman,618,0.3,73.3,0,26.4
3550,Randolph Magnet,1049,2.9,96.7,0,0.5
5550,Ravenswood,552,13.6,8.3,6.5,70.7
5560,Ray,808,21.9,62.3,11.6,3.8
5570,Raymond,583,0,99.8,0,0.2
5580,Reavis,679,0,100,0,0
6020,Recov/Gifted Child,44,0,100,0,0
6870,Reed,632,0.2,99.4,0,0.5
5590,Reilly,1695,21.5,0.8,2,75.3
5600,Reinberg,1096,47.9,5.5,6,40.1
1124,Renaissance Acad,33,15.2,42.4,3,39.4
5610,Revere,549,0,98.4,0.2,1.5
1110,Richards Car Acad HS,553,0.9,50.8,0.5,47.7
5620,Riis,320,0.3,97.5,0,2.2
1320,Robeson HS,907,0,99.8,0.2,0
6780,Robinson,337,0,99.1,0,0.9
1080,Rodriguez APC,128,6.3,28.1,4.7,60.9
5630,Rogers,648,38.4,16.4,30.2,15
1520,Roosevelt HS,1668,17.2,9,18.5,55.2
7510,Roque DeDuprey,495,2.2,6.5,0.2,91.1
5650,Ross,581,0,100,0,0
7350,Rudolph Learn Ctr,89,2.2,41.6,0,56.2
5660,Ruggles,626,0,99.8,0,0
5390,Ruiz,925,3.2,0.1,0.1,96.5
5670,Ryder,599,0,100,0,0
5680,Ryerson,617,0.2,98.9,0,1
7790,Sabin Magnet,534,8.2,17.2,1.5,72.8
1120,SAFE Schools,276,11.2,72.1,1.1,15.6
6720,Salazar Bilingual,375,0.8,6.1,0,93.1
6430,Sandoval School,1238,6.9,0.6,0.2,92.2
4250,Saucedo Acad,1339,2.8,4,0.1,93
5690,Sauganash,295,60.7,3.7,17.6,17.3
5710,Sawyer,1493,5.4,0.9,0,93.6
5720,Sayre Lang Acad,529,15.7,55.2,3.8,25
5730,Scammon,1062,19.8,1.1,1.4,77.1
5760,Schiller,355,0.3,99.4,0,0.3
5950,Schmid,322,0,99.7,0,0.3
5790,Schneider,387,4.4,70.3,0,24.8
5800,Schubert,1234,10.9,1.3,1.1,86.5
1530,Schurz HS,2500,13.4,8.1,2,76.3
1190,Sengstacke APC,223,13.5,37.2,0.4,48.9
1540,Senn Magnet HS,1785,6.9,43.7,15.5,33.4
5820,Seward,996,3.2,0,0,96.8
5830,"Sexton, A.O.",754,0,99.7,0,0.3
4520,Shabazz Charter,243,0,100,0,0
4920,"Sheridan, M.",531,30.7,25.8,29.8,13.4
5890,Sherman,804,0,100,0,0
5900,Sherwood,418,0,100,0,0
5910,Shields,2076,5.7,0.4,0,93.7
5920,Shoesmith,375,0.5,97.1,0,2.4
5930,Shoop,690,0,100,0,0
1150,Simeon Vocational,1379,0,100,0,0
1750,Simpson HS,165,0,95.8,0,4.2
5940,Skinner,395,18.7,59.5,11.4,10.1
3870,Smith,630,0.2,99,0,0.8
5960,Smyser,838,70.5,2.3,4.7,21.7
5970,Smyth,601,0,100,0,0
5980,Solomon,458,41.3,21.6,26.4,10.5
5740,Songhai,878,0.2,99.8,0,0
3960,South Loop,546,0.5,98.9,0,0.5
1550,South Shore Comm Acad,995,0,100,0,0
1500,Southside College Prep,386,0.5,88.3,0,11.1
1700,Southside L.C.,232,9.5,76.7,0,13.8
5990,Spalding Elem.,142,1.4,76.1,1.4,20.4
1650,Spalding HS,501,4.8,79.2,1.6,14.2
6000,Spencer,1315,0.1,99.9,0,0
6010,Spry,924,0.1,1.3,0.1,98.5
7760,Stagg,773,0,99.9,0,0.1
1560,Steinmetz HS,2258,30.2,23.7,2.9,43
6030,Stevenson,864,50.1,14.6,1.5,33.7
6040,Stewart,504,5.2,52.6,10.5,31.5
5770,Stock,118,49.2,17.8,4.2,28.8
